"address","city","latitude","longitude","name","postalCode","county_code","State","County","pct_diabetes","pct_obese","pct_white","pct_black","pct_hisp","pct_asian","pct_other","poverty_rate"
"324 Main St","Massena",44.9213,-74.89021,"McDonald's","13662",36089,"NY","St. Lawrence",10.6,28.2,92.85267634,2.017973272,1.917029944,0.9594082756,0.96208818696,18.5
"530 Clinton Ave","Washington Court House",39.53255,-83.44526,"Wendy's","43160",39047,"OH","Fayette",13,33.4,93.7891836,1.960041337,1.791250431,0.5201515673,0.23079572853,16.3
"408 Market Square Dr","Maysville",38.62736,-83.79141,"Frisch's Big Boy","41056",21161,"KY","Mason",13,30.1,89.68553459,6.386506575,1.417953116,0.5660377358,0.194396798187,19.5
"6098 State Highway 37","Massena",44.95008,-74.84553,"McDonald's","13662",36089,"NY","St. Lawrence",10.6,28.2,92.85267634,2.017973272,1.917029944,0.9594082756,0.96208818696,18.5
"139 Columbus Rd","Athens",39.35155,-82.09728,"OMG! Rotisserie","45701",39009,"OH","Athens",11.1,28.3,90.76856556,2.688512439,1.547323069,2.688512439,0.2362678938,31.5
"4182 Tonya Trl","Hamilton",39.4176,-84.47641,"Domino's Pizza","45011",39017,"OH","Butler",12,32.8,84.25909326,7.188493195,3.985005297,2.379322522,0.22953847822,14.4
"590 S Main St","Englewood",39.86969,-84.29358,"Domino's Pizza","45322",39113,"OH","Montgomery",13,33.3,72.67398295,20.76135236,2.275424038,1.718200216,0.23525982294,17.7
"401 N Jennings St","Saluda",34.00598,-81.7704,"McDonald's","29138",45081,"SC","Saluda",13,35.6,58.10314465,26.14339623,14.37484277,0.1811320755,0.27169811325,18.3
"205 W Church St","Batesburg",33.91335,-81.5333,"Wendy's","29006",45063,"SC","Lexington",9.9,33.4,76.96376781,14.09918785,5.537156381,1.407441566,0.40473949182,13.2
"2711 W. Kings Highway Ste. 18","Paragould",36.06107,-90.52325,"Pizza Hut","72450",5055,"AR","Greene",12.9,31.2,95.42884296,0.5511998099,2.140650986,0.2542171537,0.47754811115,17.1
"613 W Center St","Sheridan",34.30687,-92.40784,"SONIC Drive In","72150",5053,"AR","Grant",11.1,38.3,94.10743292,2.156500308,2.195709405,0.2632610766,0.425698762101,13.2
"512 Highway 425 S Lot B","Monticello",33.61937,-91.80232,"Domino's Pizza","71655",5043,"AR","Drew",13.6,34.3,68.00475444,27.76487114,2.45286077,0.4916527095,0.24312496628,21.2
"1535 NW 50th St","Oklahoma City",35.52234,-97.5382,"McDonald's","73118",40109,"OK","Oklahoma",10.2,31.2,59.25013185,15.16128538,15.10409347,2.943226932,3.22362040126,16.2
"125 Towne Center Dr","Lexington",38.06753,-84.53043,"Domino's Pizza","40511",21067,"KY","Fayette",9,27.3,73.04591231,14.31222807,6.92149843,3.213625284,0.23867235966,19.1
"66 14th St.","Tell City",37.941032,-86.762115,"Long John Silver's","47586",18123,"IN","Perry",12.6,32.8,95.29423932,2.425276657,0.9928637915,0.3568104251,0.19650429202,13.2
"301 University Blvd","Louisville",38.21999,-85.764824,"McDonald's","40208",21111,"KY","Jefferson",11.9,31.6,70.51191748,20.57101914,4.391064046,2.182038494,0.25570236517,15.4
"5812 NW Expressway","Oklahoma City",35.54815,-97.61717,"McDonald's","73132",40109,"OK","Oklahoma",10.2,31.2,59.25013185,15.16128538,15.10409347,2.943226932,3.22362040126,16.2
"101 Thomas Garst Ln","Leland",34.23389,-77.99544,"Taco Bell","28451",37019,"NC","Brunswick",11,28,80.81280077,11.28165986,5.165175787,0.5212648118,0.6376185645,14.3
"1111 New Pointe Blvd","Leland",34.21188,-78.02454,"McDonald's","28451",37019,"NC","Brunswick",11,28,80.81280077,11.28165986,5.165175787,0.5212648118,0.6376185645,14.3
"782 Old Hickory Blvd Ste 120","Brentwood",36.04222,-86.77995,"Qdoba Mexican Grill","37027",47037,"TN","Davidson",10.6,30.9,57.42682481,27.45814856,9.752489704,3.012377908,0.27813193637,17.1
"108 Village Rd NE","Leland",34.234477,-78.000649,"McDonald's","28451",37019,"NC","Brunswick",11,28,80.81280077,11.28165986,5.165175787,0.5212648118,0.6376185645,14.3
"1116 Old Highway 60","Hardinsburg",37.792641,-86.492762,"McDonald's","40143",21027,"KY","Breckinridge",14.8,36.6,95.38860362,2.014058527,0.8724263423,0.2093823221,0.299117603069,19
"1423 Southwest Pkwy","Wichita Falls",33.85371,-98.50065,"McDonald's","76302",48485,"TX","Wichita",12.3,31.1,68.4418251,10.13079848,16.62281369,1.966539924,0.89125475287,18.9
"908 Padre Blvd","South Padre Island",26.09105,-97.1643,"McDonald's","78597",48061,"TX","Cameron",9.3,33.2,10.69051253,0.2934370538,88.06730343,0.6119836542,0.11348530353,32
"1131n N Main St","Miami",36.88826,-94.87766,"McDonald's","74354",40115,"OK","Ottawa",15.6,37.1,67.36372771,0.7347400151,4.706731977,0.4961065059,19.4360713345,23
"3401 Hwy 165 North","Pineville",31.3626,-92.41343,"Pizza Hut","71360",22079,"LA","Rapides",13.2,35.7,62.01742989,31.86387363,2.597007894,1.173896196,0.75524454274,21.6
"1631 E Madison Ave","Bastrop",32.77992,-91.89477,"Sonic Drive-In","71220",22067,"LA","Morehouse",16,39.4,50.93462954,46.74219951,0.9113978341,0.350262697,0.17155723934,31.1
"301 S Lynn Riggs Blvd","Claremore",36.31069,-95.61759,"Domino's Pizza","74017",40131,"OK","Rogers",10.7,32.7,73.67815431,0.942408377,3.715551464,1.051723146,12.93366319717,10
"601 E Lincolnway","Minerva",40.732,-81.09812,"McDonald's","44657",39151,"OH","Stark",12.9,30.7,87.72877583,7.527437125,1.588184863,0.7284616573,0.23190427756,13.4
"3211 S 4th St","Leavenworth",39.28532,-94.90441,"SONIC Drive In","66048",20103,"KS","Leavenworth",10.3,32.8,80.3206213,9.19228095,5.651540793,1.246277566,0.8172957089,10.7
"105 Business Loop W","Jamestown",46.898997,-98.707788,"Taco Bell","58401",38093,"ND","Stutsman",8.8,33,94.76777251,0.5971563981,1.710900474,0.4691943128,1.46445497591,11.4
"1531 University Dr S","Fargo",46.85659,-96.79863,"Domino's Pizza","58103",38017,"ND","Cass",7,29.1,90.48725447,2.251331971,2.012979209,2.3528155,1.15504279699,10.7
"718 10th St SE","Jamestown",46.89896,-98.6984,"Taco John's","58401",38093,"ND","Stutsman",8.8,33,94.76777251,0.5971563981,1.710900474,0.4691943128,1.46445497591,11.4
"1400 24th Ave SW","Minot",48.20858,-101.3128,"McDonald's","58701",38101,"ND","Ward",7.8,30.8,88.71828131,2.381840292,3.030401297,0.8917713822,2.608836644,8.4
"703 S Magnolia St","Woodville",30.76846,-94.41477,"Whataburger","75979",48457,"TX","Tyler",12.3,31,80.43278508,10.91610769,6.83175595,0.2251217495,0.50537535601,19.9
"1535 S Broadway","Minot",48.219459,-101.296022,"Pizza Hut","58701",38101,"ND","Ward",7.8,30.8,88.71828131,2.381840292,3.030401297,0.8917713822,2.608836644,8.4
"775 S Main St","Smithfield",41.82069,-111.83318,"Domino's Pizza","84335",49005,"UT","Cache",5.6,21.8,85.46637551,0.5290441699,9.955972163,1.860531175,0.836173839,16
"218 W Main St","Ada",34.77482,-96.68126,"Hamburger King","74820",40123,"OK","Pontotoc",11.9,35.6,69.27611224,2.34450016,4.062199936,0.6508055052,16.93161207651,15.4
"3208 S Elm Pl","Broken Arrow",36.01948,-95.79756,"SONIC Drive In","74012",40143,"OK","Tulsa",10.6,29.6,65.19705736,10.56292395,11.03441647,2.302275594,5.80010374474,15.9
"3056 Classen Blvd Unit A","Norman",35.18173,-97.41709,"Domino's Pizza","73071",40027,"OK","Cleveland",10.4,30.1,75.67750386,4.133643526,6.995757659,3.763758284,4.51252174894,11.5
"982 Macon St","Warner Robins",32.59495,-83.58338,"Burger King","31098",13153,"GA","Houston",13.2,31,60.54538956,28.25947105,6.08649035,2.401715511,0.34882058617,15.2
"6060 San Mateo Blvd NE","Albuquerque",35.144456,-106.585927,"Burger King","87109",35001,"NM","Bernalillo",7.4,21.5,41.48459621,2.459083198,47.85786732,2.208239506,4.03387446367,19
"8401 Gateway Blvd W Ste M4","El Paso",31.77465,-106.38071,"McDonalds","79925",48141,"TX","El Paso",9.5,28.4,13.14511889,2.579039202,82.20027053,0.943112258,0.3839394889,20.3
"450 N Harrison Ave","Shawnee",35.33252,-96.91222,"SONIC Drive In","74801",40125,"OK","Pottawatomie",14.1,34.2,74.36709772,2.835459808,4.144465885,0.5371389073,12.35275481759,17
"9455 SW Barbur Blvd","Portland",45.457027,-122.713696,"Taco Time","97219",41051,"OR","Multnomah",7.7,21.3,72.11729636,5.428689548,10.89817688,6.46073757,1.2779226855,15.7
"351 River Hill Dr","Ashland",38.48554,-82.658096,"McDonald's","41101",21019,"KY","Boyd",15.7,38.5,93.78507125,2.773404384,1.441201405,0.4481046385,0.205885914988,20.5
"18000 Bagley Rd","Cleveland",41.373042,-81.826072,"Burger King","44130",39035,"OH","Cuyahoga",12,30,61.39860107,29.29158315,4.786262559,2.547804037,0.17459273411,18.2
"3700 N 1st Ave","Evansville",38.01322,-87.57549,"McDonald's","47710",18163,"IN","Vanderburgh",11.9,33.3,85.18499969,9.030455808,2.155222784,1.105156842,0.24150960191,17.2
"895 N Highway 77 Ste 300","Waxahachie",32.41269,-96.84213,"Jimmy John's","75165",48139,"TX","Ellis",9.9,29.8,65.49495355,8.796871867,23.50177127,0.5420760644,0.435799746,10.9
"819 SW 19th St","Oklahoma City",35.32026,-97.50536,"Domino's Pizza","73160",40027,"OK","Cleveland",10.4,30.1,75.67750386,4.133643526,6.995757659,3.763758284,4.51252174894,11.5
"95-1249 Meheula Parkway,","Mililani",21.45311,-158.01738,"Jersey Mike's Subs","96789",15003,"HI","Honolulu",8.4,22.3,19.06028806,1.88091359,8.123419152,43.01468621,9.2250686372,9.2
"1625 Veterans Pkwy","Jeffersonville",38.32967,-85.74938,"Popeyes Louisiana Kitchen","47130",18019,"IN","Clark",12.4,33.3,85.17218231,6.841026199,4.853400102,0.7783583714,0.27033892153,10.4
"2730 S Hurstbourne Pkwy Suite 100","Louisville",38.21234,-85.59548,"Qdoba Mexican Grill","40220",21111,"KY","Jefferson",11.9,31.6,70.51191748,20.57101914,4.391064046,2.182038494,0.25570236517,15.4
"5680 Commercial St SE Ste 100","Salem",44.87205,-123.02243,"Domino's Pizza","97306",41047,"OR","Marion",10.3,34.1,68.73896015,0.9215596112,24.28972363,1.836142515,1.7581302423,16.8
"2870 W Loop 1604 S","San Antonio",29.4033,-98.70619,"Whataburger","78245",48029,"TX","Bexar",8.9,27.3,30.27356974,6.90820301,58.72252479,2.307069216,0.3274485894,15.6
"1321 Herr Ln Ste 150","Louisville",38.26897,-85.61074,"Qdoba Mexican Grill","40222",21111,"KY","Jefferson",11.9,31.6,70.51191748,20.57101914,4.391064046,2.182038494,0.25570236517,15.4
"100 Northside Dr","Bennington",42.89413,-73.20316,"Taco Bell","5201",50003,"VT","Bennington",8.8,24.1,95.66868687,0.7838383838,1.414141414,0.7111111111,0.22626262622,11.8
"6611 S Mo Pac Expy Ste B","Austin",30.22023,-97.83528,"Whataburger","78749",48453,"TX","Travis",6.4,20.3,50.53804383,8.084325751,33.46454925,5.702034432,0.30763493078,13.2
"9300 S Interstate 35 Bldg H","Austin",30.16525,-97.78887,"Whataburger","78748",48453,"TX","Travis",6.4,20.3,50.53804383,8.084325751,33.46454925,5.702034432,0.30763493078,13.2
"315 N Stephenson Ave","Iron Mountain",45.825755,-88.063121,"Hardee's","49801",26043,"MI","Dickinson",12.7,30.1,96.56450627,0.3286456741,1.031794558,0.4585753592,0.55411189239,12.3
"2439 Springs Rd NE","Hickory",35.75332,-81.28572,"McDonald's","28601",37035,"NC","Catawba",13.5,29.5,77.99271823,8.329338292,8.4427111,3.440702782,0.24358957751,15.1
